City,Station,Date,PM2.5,PM10,NO2,SO2,CO,O3
Kolkata,Station_C,1/3/2023 8:00,127,275,20,7,4.78,52
Chennai,Station_C,1/3/2023 9:00,276,293,104,13,3.61,177
Mumbai,Station_C,1/3/2023 10:00,78,342,67,39,1.48,69
Chennai,Station_D,1/3/2023 11:00,123,136,42,93,1.38,124
Delhi,Station_A,1/3/2023 12:00,89,327,188,56,4.49,27
Delhi,Station_D,1/3/2023 13:00,167,256,107,65,4.36,123
Mumbai,Station_A,1/3/2023 14:00,159,322,168,6,2.57,65
Chennai,Station_C,1/3/2023 15:00,83,371,182,76,2.64,168
Delhi,Station_B,1/3/2023 16:00,292,70,162,78,3.93,41
Delhi,Station_C,1/3/2023 17:00,204,229,149,46,1.52,98
Delhi,Station_D,1/3/2023 18:00,247,54,118,11,4,82
Mumbai,Station_C,1/3/2023 19:00,35,368,54,35,1.63,15
Bangalore,Station_A,1/3/2023 20:00,220,99,140,87,4.06,120
Chennai,Station_D,1/3/2023 21:00,255,52,130,10,1.37,42
Hyderabad,Station_D,1/3/2023 22:00,62,89,60,92,3.13,176
Delhi,Station_B,1/3/2023 23:00,232,307,14,85,1.75,157
Bangalore,Station_B,1/4/2023 0:00,100,342,30,39,2.69,41
Delhi,Station_A,1/4/2023 1:00,255,338,161,12,1.83,120
Bangalore,Station_C,1/4/2023 2:00,59,186,119,55,4.82,50
Hyderabad,Station_B,1/4/2023 3:00,251,196,22,56,3.05,90
Hyderabad,Station_B,1/4/2023 4:00,55,129,196,57,3.42,19
Chennai,Station_B,1/4/2023 5:00,50,74,190,6,2.21,41
Hyderabad,Station_D,1/4/2023 6:00,49,391,140,11,2.43,89
Chennai,Station_C,1/4/2023 7:00,290,105,81,49,3.26,129
Mumbai,Station_A,1/4/2023 8:00,244,370,91,45,3.92,38
Chennai,Station_B,1/4/2023 9:00,105,255,103,75,4.68,24
Delhi,Station_B,1/4/2023 10:00,153,395,161,28,1.22,28
Delhi,Station_B,1/4/2023 11:00,83,336,189,28,3.65,63
Kolkata,Station_C,1/4/2023 12:00,77,121,145,12,4.69,171
Mumbai,Station_B,1/4/2023 13:00,224,277,135,54,4.71,94
Bangalore,Station_B,1/4/2023 14:00,232,389,64,17,4.39,129
Mumbai,Station_A,1/4/2023 15:00,217,262,185,67,3.48,123
Bangalore,Station_B,1/4/2023 16:00,91,337,103,82,3.17,65
Hyderabad,Station_A,1/4/2023 17:00,37,83,85,77,2.88,129
Hyderabad,Station_D,1/4/2023 18:00,122,171,70,25,2.18,173
Chennai,Station_A,1/4/2023 19:00,104,64,143,60,3.6,33
Mumbai,Station_B,1/4/2023 20:00,60,391,89,23,1.64,35
Mumbai,Station_B,1/4/2023 21:00,204,91,91,44,4.59,170
Bangalore,Station_C,1/4/2023 22:00,91,153,129,37,3.87,51
Delhi,Station_B,1/4/2023 23:00,101,90,145,42,1.8,61
Kolkata,Station_B,1/5/2023 0:00,269,220,57,43,3.97,144
Bangalore,Station_A,1/5/2023 1:00,43,126,143,82,2.16,89
Delhi,Station_A,1/5/2023 2:00,192,146,85,25,4.88,106
Mumbai,Station_A,1/5/2023 3:00,27,364,84,28,4.24,72
Delhi,Station_B,1/5/2023 4:00,59,179,69,18,3.91,36
Bangalore,Station_C,1/5/2023 5:00,120,293,184,20,4.3,50
Hyderabad,Station_C,1/5/2023 6:00,29,242,55,47,4.17,37
Bangalore,Station_B,1/5/2023 7:00,243,310,104,85,4.62,42
Chennai,Station_B,1/5/2023 8:00,270,155,110,65,3.85,97
Kolkata,Station_B,1/5/2023 9:00,260,241,44,57,2.99,100
Delhi,Station_A,1/5/2023 10:00,146,161,181,64,2.7,114
Delhi,Station_D,1/5/2023 11:00,271,358,58,85,1.79,149
Delhi,Station_D,1/5/2023 12:00,75,378,32,85,0.96,10
Mumbai,Station_C,1/5/2023 13:00,62,236,91,90,1.02,88
Chennai,Station_D,1/5/2023 14:00,282,249,139,83,0.64,175
Chennai,Station_A,1/5/2023 15:00,239,343,149,85,3.36,170
Chennai,Station_A,1/5/2023 16:00,115,368,75,97,3.8,118
Bangalore,Station_A,1/5/2023 17:00,291,113,129,46,1.5,102
Kolkata,Station_A,1/5/2023 18:00,122,335,180,74,1.9,99
Bangalore,Station_C,1/5/2023 19:00,200,217,116,95,0.52,139
Kolkata,Station_A,1/5/2023 20:00,145,372,15,60,2.16,96
Bangalore,Station_D,1/5/2023 21:00,264,316,96,6,1.21,136
Delhi,Station_A,1/5/2023 22:00,190,52,97,79,3.6,153
Bangalore,Station_D,1/5/2023 23:00,287,131,46,80,3,98
Mumbai,Station_B,1/6/2023 0:00,89,51,47,74,4.65,159
Bangalore,Station_B,1/6/2023 1:00,55,356,57,88,3.57,179
Kolkata,Station_A,1/6/2023 2:00,265,106,123,10,2.23,76
Bangalore,Station_A,1/6/2023 3:00,179,374,179,75,3.82,116
Kolkata,Station_D,1/6/2023 4:00,233,251,67,19,0.66,109
Kolkata,Station_A,1/6/2023 5:00,77,66,61,79,3.3,167
Hyderabad,Station_D,1/6/2023 6:00,102,248,194,85,2.05,55
Mumbai,Station_A,1/6/2023 7:00,99,254,186,46,0.79,102
Delhi,Station_C,1/6/2023 8:00,183,75,140,29,2.63,79
Hyderabad,Station_D,1/6/2023 9:00,269,388,36,95,2.41,130
Chennai,Station_B,1/6/2023 10:00,93,330,153,57,4.63,52
Bangalore,Station_A,1/6/2023 11:00,185,174,178,73,2.44,110
Kolkata,Station_A,1/6/2023 12:00,234,385,72,44,4.57,126
Chennai,Station_B,1/6/2023 13:00,113,323,167,41,2.57,126
Delhi,Station_A,1/6/2023 14:00,79,57,189,54,1.8,77
Chennai,Station_A,1/6/2023 15:00,118,337,53,11,2.63,162
Delhi,Station_B,1/6/2023 16:00,184,126,184,50,2.56,114
Kolkata,Station_A,1/6/2023 17:00,127,188,64,99,4.67,159
Hyderabad,Station_D,1/6/2023 18:00,240,245,122,46,0.89,30
Hyderabad,Station_D,1/6/2023 19:00,271,335,110,18,1.91,60
Mumbai,Station_B,1/6/2023 20:00,247,248,78,75,4.71,123
Chennai,Station_A,1/6/2023 21:00,82,351,188,15,3.91,69
Mumbai,Station_C,1/6/2023 22:00,216,215,125,19,0.71,46
Hyderabad,Station_C,1/6/2023 23:00,297,98,155,71,2.68,125
Bangalore,Station_C,1/7/2023 0:00,160,215,27,9,4.11,127
Chennai,Station_C,1/7/2023 1:00,53,313,152,96,4.14,146
Chennai,Station_C,1/7/2023 2:00,209,397,33,68,4.69,145
Hyderabad,Station_D,1/7/2023 3:00,257,175,185,9,0.67,20
Kolkata,Station_A,1/7/2023 4:00,38,354,180,43,4.98,151
Kolkata,Station_D,1/7/2023 5:00,214,272,127,27,1.48,59
Delhi,Station_C,1/7/2023 6:00,255,287,61,43,3.94,150
Kolkata,Station_B,1/7/2023 7:00,224,245,198,63,2.89,70
Kolkata,Station_A,1/7/2023 8:00,36,396,108,23,0.92,130
Hyderabad,Station_D,1/7/2023 9:00,162,86,70,84,1.81,140
Kolkata,Station_B,1/7/2023 10:00,292,193,107,74,0.81,72
Chennai,Station_C,1/7/2023 11:00,149,54,119,24,1.56,170
Kolkata,Station_C,1/7/2023 12:00,121,354,54,60,2.11,42
Mumbai,Station_C,1/7/2023 13:00,181,189,142,21,4.29,102
Delhi,Station_A,1/7/2023 14:00,108,238,72,92,1.04,20
Mumbai,Station_B,1/7/2023 15:00,80,231,163,49,3.54,99
Bangalore,Station_D,1/7/2023 16:00,199,114,41,28,4.79,158
Kolkata,Station_D,1/7/2023 17:00,58,298,52,57,3.08,124
Delhi,Station_B,1/7/2023 18:00,267,371,198,44,3.63,59
Hyderabad,Station_C,1/7/2023 19:00,187,211,98,99,1.76,103
Kolkata,Station_B,1/7/2023 20:00,90,357,117,14,2.61,117
Mumbai,Station_D,1/7/2023 21:00,237,232,191,93,4.54,45
Hyderabad,Station_B,1/7/2023 22:00,266,378,148,49,1.33,92
Delhi,Station_C,1/7/2023 23:00,257,291,193,77,1.58,22
Bangalore,Station_B,1/8/2023 0:00,163,267,80,83,0.58,43
Kolkata,Station_C,1/8/2023 1:00,68,393,143,63,2.83,68
Hyderabad,Station_B,1/8/2023 2:00,208,206,158,57,4.54,134
Mumbai,Station_B,1/8/2023 3:00,179,93,10,42,3.49,125
Bangalore,Station_A,1/8/2023 4:00,62,115,68,93,2.47,162
Bangalore,Station_C,1/8/2023 5:00,229,98,81,77,2.41,16
Hyderabad,Station_C,1/8/2023 6:00,147,293,126,12,2.53,52
Hyderabad,Station_B,1/8/2023 7:00,136,235,191,24,2.53,86
Delhi,Station_B,1/8/2023 8:00,281,74,188,41,1.16,21
Mumbai,Station_D,1/8/2023 9:00,75,299,33,78,3.53,102
Delhi,Station_C,1/8/2023 10:00,211,190,167,14,3.01,25
Chennai,Station_B,1/8/2023 11:00,286,245,79,99,3.95,112
Hyderabad,Station_A,1/8/2023 12:00,156,106,149,38,2.38,28
Bangalore,Station_C,1/8/2023 13:00,169,370,22,20,2.55,140
Chennai,Station_A,1/8/2023 14:00,250,279,48,61,4.98,153
Kolkata,Station_A,1/8/2023 15:00,152,144,166,24,1.14,19
Chennai,Station_D,1/8/2023 16:00,144,94,185,63,2.77,168
Delhi,Station_C,1/8/2023 17:00,201,81,100,28,0.61,118
Hyderabad,Station_B,1/8/2023 18:00,266,367,121,93,4.11,82
Delhi,Station_B,1/8/2023 19:00,142,336,82,88,1.57,136
Hyderabad,Station_A,1/8/2023 20:00,256,192,79,79,3.76,93
Chennai,Station_D,1/8/2023 21:00,244,376,82,60,2.4,142
Delhi,Station_B,1/8/2023 22:00,125,227,185,19,2.63,57
Kolkata,Station_D,1/8/2023 23:00,278,96,153,71,4.54,104
Hyderabad,Station_C,1/9/2023 0:00,185,390,172,46,2.8,37
Bangalore,Station_B,1/9/2023 1:00,32,334,48,50,4.84,39
Delhi,Station_C,1/9/2023 2:00,67,385,46,10,2.95,158
Mumbai,Station_D,1/9/2023 3:00,254,132,52,48,0.9,19
Bangalore,Station_D,1/9/2023 4:00,228,256,78,25,2.92,176
Chennai,Station_D,1/9/2023 5:00,33,56,111,89,3.24,70
Kolkata,Station_A,1/9/2023 6:00,213,271,79,96,1.07,77
Bangalore,Station_D,1/9/2023 7:00,249,382,122,64,3.1,139
Chennai,Station_B,1/9/2023 8:00,100,280,149,15,1.6,33
Delhi,Station_C,1/9/2023 9:00,119,122,53,99,1.31,142
Hyderabad,Station_B,1/9/2023 10:00,27,153,110,96,2.25,164
Bangalore,Station_B,1/9/2023 11:00,218,399,26,38,2.61,171
Hyderabad,Station_D,1/9/2023 12:00,123,120,101,32,1.06,159
Bangalore,Station_A,1/9/2023 13:00,268,102,137,59,2.04,117
Hyderabad,Station_A,1/9/2023 14:00,204,342,20,81,4.97,70
Delhi,Station_D,1/9/2023 15:00,237,264,53,82,4.23,63
Bangalore,Station_A,1/9/2023 16:00,274,107,48,20,1.51,161
Delhi,Station_D,1/9/2023 17:00,38,292,84,96,3.38,10
Hyderabad,Station_C,1/9/2023 18:00,112,133,39,42,3.7,104
Chennai,Station_D,1/9/2023 19:00,261,230,14,74,3.22,134
Delhi,Station_B,1/9/2023 20:00,161,365,164,26,3.05,103
Bangalore,Station_C,1/9/2023 21:00,294,154,156,66,1.99,97
Chennai,Station_C,1/9/2023 22:00,101,157,172,49,0.96,168
Hyderabad,Station_C,1/9/2023 23:00,24,261,174,33,4.6,18
Hyderabad,Station_C,1/10/2023 0:00,55,259,114,55,1.55,10
Kolkata,Station_D,1/10/2023 1:00,47,129,172,84,3.55,148
Chennai,Station_B,1/10/2023 2:00,239,380,86,77,0.75,59
Delhi,Station_B,1/10/2023 3:00,271,202,169,79,2.84,74
Chennai,Station_A,1/10/2023 4:00,142,395,44,12,3.96,159
Delhi,Station_C,1/10/2023 5:00,134,373,131,35,4.97,145
Kolkata,Station_D,1/10/2023 6:00,31,92,62,75,3.79,68
Bangalore,Station_A,1/10/2023 7:00,156,319,19,56,3.53,112
Mumbai,Station_C,1/10/2023 8:00,154,167,60,64,4.3,18
Hyderabad,Station_D,1/10/2023 9:00,180,202,149,88,3.15,28
Delhi,Station_A,1/10/2023 10:00,156,131,168,8,0.97,141
Hyderabad,Station_A,1/10/2023 11:00,140,145,197,91,2.87,52
Bangalore,Station_B,1/10/2023 12:00,281,224,157,31,0.87,95
Kolkata,Station_D,1/10/2023 13:00,285,396,164,53,0.54,20
Hyderabad,Station_A,1/10/2023 14:00,188,177,79,7,3.68,165
Bangalore,Station_B,1/10/2023 15:00,257,279,39,76,3.63,106
Mumbai,Station_A,1/10/2023 16:00,32,315,125,45,1.27,32
Kolkata,Station_C,1/10/2023 17:00,57,301,87,78,3.25,161
Hyderabad,Station_D,1/10/2023 18:00,240,146,190,32,3.53,88
Bangalore,Station_A,1/10/2023 19:00,232,327,110,46,2.49,43
Hyderabad,Station_A,1/10/2023 20:00,92,163,35,10,0.55,122
Hyderabad,Station_A,1/10/2023 21:00,297,277,101,33,3.94,40
Bangalore,Station_A,1/10/2023 22:00,171,282,150,73,3.47,115
Chennai,Station_C,1/10/2023 23:00,285,182,49,91,3.54,81
Bangalore,Station_A,1/11/2023 0:00,38,354,53,65,2.86,41
Hyderabad,Station_D,1/11/2023 1:00,107,236,23,57,1.27,40
Kolkata,Station_B,1/11/2023 2:00,100,154,93,71,3.51,53
Delhi,Station_C,1/11/2023 3:00,279,97,68,42,3.07,97
Hyderabad,Station_B,1/11/2023 4:00,51,56,70,51,2.45,102
Chennai,Station_D,1/11/2023 5:00,158,107,160,29,1.6,173
Mumbai,Station_D,1/11/2023 6:00,288,377,194,15,2.06,30
Kolkata,Station_D,1/11/2023 7:00,119,192,131,39,3.29,29
Hyderabad,Station_A,1/11/2023 8:00,77,80,149,86,4.77,104
Kolkata,Station_C,1/11/2023 9:00,87,130,41,70,0.73,116
Chennai,Station_B,1/11/2023 10:00,76,92,97,19,0.64,116
Hyderabad,Station_C,1/11/2023 11:00,103,212,141,65,3.14,123
Hyderabad,Station_D,1/11/2023 12:00,218,52,118,74,4.18,67
Kolkata,Station_B,1/11/2023 13:00,202,195,163,35,2.29,77
Delhi,Station_B,1/11/2023 14:00,175,171,11,87,3.67,144
Hyderabad,Station_A,1/11/2023 15:00,195,186,10,38,4.81,90
Hyderabad,Station_D,1/11/2023 16:00,206,316,196,97,4.45,35
Kolkata,Station_D,1/11/2023 17:00,236,259,50,5,2.74,152
Chennai,Station_A,1/11/2023 18:00,235,257,120,38,2.04,167
Bangalore,Station_D,1/11/2023 19:00,21,352,55,8,1.36,114
Mumbai,Station_D,1/11/2023 20:00,146,292,161,82,3.77,124
Delhi,Station_B,1/11/2023 21:00,218,262,13,22,1.42,113
Hyderabad,Station_B,1/11/2023 22:00,66,365,17,28,4.63,66
Bangalore,Station_D,1/11/2023 23:00,105,336,167,44,4.25,130
Kolkata,Station_B,1/12/2023 0:00,68,325,70,7,4.68,26
Delhi,Station_D,1/12/2023 1:00,58,291,45,70,2.23,10
Hyderabad,Station_A,1/12/2023 2:00,130,235,182,43,2.95,128
Chennai,Station_C,1/12/2023 3:00,55,283,48,44,4.98,30
Hyderabad,Station_D,1/12/2023 4:00,278,81,52,30,2.27,164
Delhi,Station_C,1/12/2023 5:00,131,346,74,37,3.32,141
Chennai,Station_D,1/12/2023 6:00,277,292,146,36,1.36,17
Delhi,Station_B,1/12/2023 7:00,227,135,122,25,0.54,127
Bangalore,Station_A,1/12/2023 8:00,179,284,118,77,1.12,177
Kolkata,Station_D,1/12/2023 9:00,281,90,41,8,2.12,48
Hyderabad,Station_D,1/12/2023 10:00,57,147,65,76,3.72,59
Hyderabad,Station_B,1/12/2023 11:00,79,368,29,44,2.45,41
Bangalore,Station_D,1/12/2023 12:00,78,88,179,55,1.21,66
Bangalore,Station_D,1/12/2023 13:00,117,77,19,7,4.91,132
Bangalore,Station_C,1/12/2023 14:00,280,216,199,33,1.98,42
Hyderabad,Station_D,1/12/2023 15:00,132,339,125,88,2.33,75
Hyderabad,Station_A,1/12/2023 16:00,102,163,117,13,3.27,60
Kolkata,Station_A,1/12/2023 17:00,128,201,125,43,1.07,61
Chennai,Station_A,1/12/2023 18:00,123,132,54,21,4.97,21
Kolkata,Station_A,1/12/2023 19:00,82,264,124,46,0.75,114
Kolkata,Station_D,1/12/2023 20:00,111,192,198,70,2.21,52
Kolkata,Station_A,1/12/2023 21:00,86,132,86,48,2.36,175
Delhi,Station_D,1/12/2023 22:00,220,138,130,74,4.9,36
Delhi,Station_D,1/12/2023 23:00,76,337,108,93,0.81,95
Delhi,Station_D,1/13/2023 0:00,125,148,115,11,4.56,18
Delhi,Station_B,1/13/2023 1:00,152,299,13,98,2.31,34
Chennai,Station_B,1/13/2023 2:00,74,170,176,39,3.01,79
Mumbai,Station_B,1/13/2023 3:00,118,198,19,51,3.55,77
Mumbai,Station_A,1/13/2023 4:00,86,399,127,42,4.28,23
Bangalore,Station_B,1/13/2023 5:00,69,367,136,79,3.86,155
Delhi,Station_B,1/13/2023 6:00,44,327,16,78,1.4,115
Kolkata,Station_B,1/13/2023 7:00,161,231,182,81,4.61,58
Kolkata,Station_A,1/13/2023 8:00,87,180,115,80,3.82,165
Chennai,Station_C,1/13/2023 9:00,20,110,188,88,2.12,162
Mumbai,Station_C,1/13/2023 10:00,111,332,40,91,2.92,99
Delhi,Station_A,1/13/2023 11:00,107,317,127,90,0.66,24
Bangalore,Station_B,1/13/2023 12:00,266,130,182,35,3.51,177
Kolkata,Station_A,1/13/2023 13:00,159,132,199,72,4.76,13
Delhi,Station_D,1/13/2023 14:00,144,297,22,92,4.7,102
Delhi,Station_A,1/13/2023 15:00,39,170,157,40,2.64,129
Delhi,Station_C,1/13/2023 16:00,123,157,60,98,2.8,123
Chennai,Station_B,1/13/2023 17:00,164,92,127,76,1.21,12
Chennai,Station_A,1/13/2023 18:00,199,372,31,54,4.89,149
Bangalore,Station_D,1/13/2023 19:00,174,144,107,37,1.15,130
Delhi,Station_A,1/13/2023 20:00,246,66,66,36,2.82,96
Kolkata,Station_B,1/13/2023 21:00,204,383,182,84,4.36,132
Hyderabad,Station_B,1/13/2023 22:00,171,166,173,64,4.81,12
Mumbai,Station_C,1/13/2023 23:00,227,141,62,37,3.28,39
Mumbai,Station_D,1/14/2023 0:00,211,266,174,34,4.09,53
Chennai,Station_C,1/14/2023 1:00,148,323,58,40,3.95,166
Hyderabad,Station_D,1/14/2023 2:00,209,159,51,54,0.67,106
Hyderabad,Station_B,1/14/2023 3:00,267,95,22,30,3.39,58
Delhi,Station_D,1/14/2023 4:00,76,378,14,43,0.76,167
Hyderabad,Station_D,1/14/2023 5:00,154,102,191,22,4.55,128
Bangalore,Station_C,1/14/2023 6:00,35,135,61,71,2.06,170
Delhi,Station_C,1/14/2023 7:00,248,126,26,66,4.63,107
Mumbai,Station_A,1/14/2023 8:00,174,286,83,33,4.95,55
Bangalore,Station_D,1/14/2023 9:00,35,381,15,42,3.51,94
Mumbai,Station_C,1/14/2023 10:00,182,337,161,69,3.51,77
Mumbai,Station_D,1/14/2023 11:00,215,259,109,22,3.18,53
Chennai,Station_D,1/14/2023 12:00,129,279,25,61,3.36,60
Delhi,Station_A,1/14/2023 13:00,85,99,81,25,4.86,161
Bangalore,Station_D,1/14/2023 14:00,40,378,90,62,3.5,161
Delhi,Station_B,1/14/2023 15:00,238,58,105,64,3.27,69
Chennai,Station_B,1/14/2023 16:00,214,101,34,41,2.31,72
Kolkata,Station_C,1/14/2023 17:00,58,105,196,12,2.06,143
Kolkata,Station_A,1/14/2023 18:00,92,295,65,69,2.95,63
Kolkata,Station_A,1/14/2023 19:00,74,163,72,28,1.18,22
Hyderabad,Station_A,1/14/2023 20:00,288,215,148,51,1.92,66
Bangalore,Station_B,1/14/2023 21:00,242,120,14,28,1.58,135
Delhi,Station_A,1/14/2023 22:00,211,152,67,66,3.92,56
Bangalore,Station_B,1/14/2023 23:00,297,248,137,75,2.88,133
Delhi,Station_C,1/15/2023 0:00,68,137,71,77,2.86,109
Kolkata,Station_A,1/15/2023 1:00,288,384,12,52,1.67,134
Mumbai,Station_A,1/15/2023 2:00,32,345,138,50,4.81,106
Chennai,Station_A,1/15/2023 3:00,35,291,113,87,4.84,177
Chennai,Station_C,1/15/2023 4:00,128,67,65,64,2.42,165
Delhi,Station_C,1/15/2023 5:00,188,93,82,91,2.58,178
Hyderabad,Station_D,1/15/2023 6:00,56,382,140,82,2.29,122
Chennai,Station_A,1/15/2023 7:00,241,120,76,5,3.23,56
Chennai,Station_B,1/15/2023 8:00,192,236,129,85,1.71,147
Mumbai,Station_B,1/15/2023 9:00,58,170,164,33,3.77,11
Hyderabad,Station_B,1/15/2023 10:00,247,183,120,96,2.44,124
Chennai,Station_B,1/15/2023 11:00,41,105,102,58,4.07,84
Hyderabad,Station_C,1/15/2023 12:00,280,346,77,69,1.44,99
Hyderabad,Station_C,1/15/2023 13:00,231,51,134,78,3.11,114
Kolkata,Station_A,1/15/2023 14:00,172,156,198,44,1.59,133
Delhi,Station_C,1/15/2023 15:00,125,120,165,67,1.56,132
Mumbai,Station_A,1/15/2023 16:00,211,252,56,14,1.85,129
Hyderabad,Station_A,1/15/2023 17:00,140,189,78,80,2.25,50
Delhi,Station_A,1/15/2023 18:00,24,134,128,9,3.82,37
Delhi,Station_A,1/15/2023 19:00,202,253,81,60,1.09,106
Hyderabad,Station_B,1/15/2023 20:00,253,75,113,90,1.28,57
Chennai,Station_C,1/15/2023 21:00,81,359,136,56,4.89,179
Bangalore,Station_D,1/15/2023 22:00,250,93,55,60,1.04,168
Hyderabad,Station_A,1/15/2023 23:00,41,161,98,52,4.96,119
Delhi,Station_D,1/16/2023 0:00,33,239,54,38,2.93,11
Bangalore,Station_D,1/16/2023 1:00,298,340,167,87,4.28,34
Kolkata,Station_D,1/16/2023 2:00,54,329,175,95,1.03,45
Bangalore,Station_D,1/16/2023 3:00,72,307,144,58,4.13,144
Delhi,Station_C,1/16/2023 4:00,277,149,190,66,1.45,120
Mumbai,Station_D,1/16/2023 5:00,127,377,33,48,2.54,37
Bangalore,Station_D,1/16/2023 6:00,205,180,184,99,3.71,166
Delhi,Station_B,1/16/2023 7:00,82,269,145,22,1.88,141
Kolkata,Station_D,1/16/2023 8:00,203,192,85,96,0.84,23
Mumbai,Station_B,1/16/2023 9:00,178,72,74,78,2.78,18
Hyderabad,Station_C,1/16/2023 10:00,148,184,61,31,4.1,133
Bangalore,Station_C,1/16/2023 11:00,208,317,128,52,3.63,91
Delhi,Station_C,1/16/2023 12:00,223,275,47,72,3.05,17
Kolkata,Station_C,1/16/2023 13:00,51,241,199,8,4.15,30
Mumbai,Station_D,1/16/2023 14:00,139,137,136,62,2.44,169
Bangalore,Station_B,1/16/2023 15:00,234,75,126,53,1.19,145
Hyderabad,Station_B,1/16/2023 16:00,106,385,190,75,4.19,80
Kolkata,Station_B,1/16/2023 17:00,110,219,126,52,2.97,62
Mumbai,Station_B,1/16/2023 18:00,100,189,133,29,4.35,103
Hyderabad,Station_C,1/16/2023 19:00,39,114,110,75,1.27,157
Bangalore,Station_A,1/16/2023 20:00,137,94,189,64,0.58,86
Bangalore,Station_C,1/16/2023 21:00,275,191,84,34,2.91,130
Bangalore,Station_C,1/16/2023 22:00,98,156,111,80,2.07,107
Bangalore,Station_A,1/16/2023 23:00,156,137,16,35,3.7,174
Bangalore,Station_C,1/17/2023 0:00,163,260,32,51,1.27,96
Chennai,Station_B,1/17/2023 1:00,298,140,120,18,1.85,55
Chennai,Station_D,1/17/2023 2:00,203,130,154,38,2.54,61
Chennai,Station_D,1/17/2023 3:00,224,292,154,77,3.11,152
Delhi,Station_D,1/17/2023 4:00,85,358,134,82,3.19,133
